arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238496159,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,K,63,25-44,F,WHITE,-73.909588,40.625116
238496160,01/01/2022,792,118,DANGEROUS WEAPONS,F,K,75,18-24,M,WHITE HISPANIC,-73.896031,40.670553
238496162,01/01/2022,802,346,ALCOHOLIC BEVERAGE CONTROL LAW,M,K,67,25-44,M,BLACK,-73.909839,40.651268
238496163,01/01/2022,759,359,OFFENSES AGAINST PUBLIC ADMINI,M,K,75,25-44,M,BLACK HISPANIC,-73.896031,40.670553
238496165,01/01/2022,779,126,MISCELLANEOUS PENAL LAW,F,K,79,45-64,M,WHITE HISPANIC,-73.94207577,40.688698
238496166,01/01/2022,268,121,CRIMINAL MISCHIEF & RELATED OF,F,M,5,25-44,M,BLACK,-73.99133,40.723024
238496168,01/01/2022,759,359,OFFENSES AGAINST PUBLIC ADMINI,M,M,23,25-44,M,WHITE HISPANIC,-73.949869,40.788771
238496169,01/01/2022,268,121,CRIMINAL MISCHIEF & RELATED OF,F,M,23,25-44,M,BLACK,-73.939372,40.78845
238496170,01/01/2022,922,348,VEHICLE AND TRAFFIC LAWS,M,M,25,25-44,M,BLACK,-73.94161894,40.79862228
238496172,01/01/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,Q,110,45-64,M,ASIAN / PACIFIC ISLANDER,-73.84780277,40.74004883
238496175,01/01/2022,792,118,DANGEROUS WEAPONS,F,Q,113,25-44,M,BLACK,-73.758316,40.681266
238496176,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,115,45-64,M,ASIAN / PACIFIC ISLANDER,-73.885287,40.760323
238496177,01/01/2022,750,359,OFFENSES AGAINST PUBLIC ADMINI,M,Q,106,45-64,M,WHITE HISPANIC,-73.853671,40.66584
238496178,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,115,45-64,M,ASIAN / PACIFIC ISLANDER,-73.885287,40.760323
238496179,01/01/2022,105,106,FELONY ASSAULT,F,Q,115,25-44,M,WHITE HISPANIC,-73.8759315341335,40.7565675846374
238496180,01/01/2022,681,233,SEX CRIMES,M,Q,115,25-44,M,WHITE HISPANIC,-73.8759315341335,40.7565675846374
238496181,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,103,45-64,M,WHITE HISPANIC,-73.761435,40.714848
238496182,01/01/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,Q,111,25-44,F,WHITE HISPANIC,-73.7675025349456,40.7603961392658
238496183,01/01/2022,625,572,DISORDERLY CONDUCT,V,Q,114,25-44,M,BLACK,-73.91369937,40.76548128
238496184,01/01/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,Q,104,25-44,M,WHITE,-73.872105,40.70265
238496185,01/01/2022,109,106,FELONY ASSAULT,F,S,120,45-64,M,WHITE HISPANIC,-74.0770327198983,40.6447209438691
238496187,01/01/2022,748,359,OFFENSES AGAINST PUBLIC ADMINI,M,S,123,45-64,F,WHITE,-74.163606,40.527766
238496450,01/01/2022,792,118,DANGEROUS WEAPONS,F,B,40,25-44,M,BLACK,-73.922131,40.807907
238496451,01/01/2022,105,106,FELONY ASSAULT,F,B,46,25-44,M,WHITE HISPANIC,-73.9005768807295,40.8535983673823
238496452,01/01/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,B,41,45-64,M,WHITE HISPANIC,-73.894894,40.822061
238496453,01/01/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,B,47,25-44,M,BLACK,-73.8472717577564,40.8873136344706
238496454,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,42,45-64,M,WHITE HISPANIC,-73.886463,40.835933
238496455,01/01/2022,109,106,FELONY ASSAULT,F,B,42,25-44,F,WHITE HISPANIC,-73.911697780277,40.8222710411331
238496456,01/01/2022,109,106,FELONY ASSAULT,F,K,70,25-44,M,WHITE HISPANIC,-73.9737053160275,40.6305998504358
238496457,01/01/2022,105,106,FELONY ASSAULT,F,K,79,25-44,M,WHITE HISPANIC,-73.9450265328727,40.68900139556
238496459,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,K,62,25-44,M,WHITE HISPANIC,-73.998943,40.623442
238496460,01/01/2022,105,106,FELONY ASSAULT,F,K,79,25-44,M,WHITE HISPANIC,-73.9450265328727,40.68900139556
