arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238854058,01/09/2022,109,106,FELONY ASSAULT,F,B,49,<18,M,WHITE HISPANIC,-73.8438936779283,40.8565767275976
238854059,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,46,45-64,F,BLACK,-73.904783,40.854055
238854060,01/09/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,B,46,45-64,F,BLACK,-73.904783,40.854055
238854061,01/09/2022,109,106,FELONY ASSAULT,F,K,71,18-24,M,WHITE HISPANIC,-73.9477648403751,40.664121282631
238854062,01/09/2022,339,341,PETIT LARCENY,M,K,70,25-44,M,WHITE,-73.96492696,40.63885107
238854063,01/09/2022,922,348,VEHICLE AND TRAFFIC LAWS,M,K,78,25-44,M,BLACK,-73.9744751162161,40.6807856126343
238854064,01/09/2022,105,106,FELONY ASSAULT,F,K,75,25-44,M,WHITE HISPANIC,-73.8818110231735,40.6713598203364
238854065,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,K,72,18-24,F,WHITE HISPANIC,-74.011387,40.650762
238854066,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,K,71,25-44,M,BLACK,-73.9477648403751,40.664121282631
238854067,01/09/2022,462,353,UNAUTHORIZED USE OF A VEHICLE,M,K,70,25-44,M,WHITE,-73.96492696,40.63885107
238854068,01/09/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,K,72,25-44,M,WHITE HISPANIC,-74.013195,40.644108
238854069,01/08/2022,203,352,CRIMINAL TRESPASS,M,K,83,18-24,M,WHITE HISPANIC,-73.920212,40.693764
238854070,01/09/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,M,10,25-44,M,BLACK,-73.999632,40.743716
238854071,01/09/2022,779,126,MISCELLANEOUS PENAL LAW,F,M,23,45-64,M,WHITE HISPANIC,-73.94597,40.791232
238854072,01/09/2022,339,341,PETIT LARCENY,M,M,1,25-44,F,WHITE,-74.00925599,40.7132559
238854073,01/09/2022,779,126,MISCELLANEOUS PENAL LAW,F,M,23,45-64,M,WHITE HISPANIC,-73.946431,40.790597
238854074,01/09/2022,750,359,OFFENSES AGAINST PUBLIC ADMINI,M,M,23,25-44,M,BLACK,-73.940798,40.786582
238854075,01/09/2022,707,340,FRAUDS,M,Q,104,45-64,M,WHITE HISPANIC,-73.91103665,40.69953101
238854076,01/08/2022,792,118,DANGEROUS WEAPONS,F,Q,107,45-64,M,ASIAN / PACIFIC ISLANDER,-73.788933,40.737102
238854077,01/09/2022,705,358,OFFENSES INVOLVING FRAUD,M,Q,105,18-24,M,ASIAN / PACIFIC ISLANDER,-73.7348645378882,40.7265293769835
238854078,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,115,25-44,M,WHITE HISPANIC,-73.866404,40.756621
238854079,01/08/2022,157,104,RAPE,F,Q,102,45-64,M,BLACK HISPANIC,-73.831570887672,40.69932415739
238854080,01/09/2022,705,358,OFFENSES INVOLVING FRAUD,M,Q,105,25-44,M,BLACK,-73.7348645378882,40.7265293769835
238855475,01/08/2022,244,107,BURGLARY,F,B,40,25-44,M,WHITE HISPANIC,-73.924895,40.810391
238855476,01/09/2022,109,106,FELONY ASSAULT,F,B,47,25-44,F,BLACK,-73.8472717577564,40.8873136344706
238855477,01/09/2022,109,106,FELONY ASSAULT,F,K,67,25-44,F,BLACK,-73.951016510623,40.6488507469884
238855478,01/09/2022,105,106,FELONY ASSAULT,F,K,67,45-64,M,BLACK,-73.951016510623,40.6488507469884
238855479,01/09/2022,729,113,FORGERY,F,K,78,25-44,F,BLACK HISPANIC,-73.974852,40.683291
238855480,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,M,6,25-44,M,ASIAN / PACIFIC ISLANDER,-74.006099,40.739946
238855481,01/09/2022,339,341,PETIT LARCENY,M,M,19,25-44,M,BLACK HISPANIC,-73.950511,40.783576
238856135,01/09/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,B,52,18-24,F,WHITE HISPANIC,-73.895638,40.867894
238856136,01/09/2022,397,105,ROBBERY,F,B,46,18-24,M,BLACK,-73.905922,40.847534
238856137,01/09/2022,397,105,ROBBERY,F,K,75,<18,M,WHITE HISPANIC,-73.881509,40.671404
238856138,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,M,14,18-24,M,WHITE,-73.98929757,40.75790742
238856139,01/09/2022,269,121,CRIMINAL MISCHIEF & RELATED OF,F,M,33,25-44,M,WHITE HISPANIC,-73.945468,40.837568
238856140,01/09/2022,109,106,FELONY ASSAULT,F,M,33,25-44,M,WHITE HISPANIC,-73.9362453818218,40.8407811088581
238856141,01/09/2022,109,106,FELONY ASSAULT,F,M,33,25-44,M,WHITE HISPANIC,-73.9362453818218,40.8407811088581
238856142,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,110,25-44,M,WHITE HISPANIC,-73.859381,40.742182
238856143,01/09/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,Q,108,25-44,M,WHITE HISPANIC,-73.897667,40.746191
238856144,01/09/2022,105,106,FELONY ASSAULT,F,S,121,25-44,M,BLACK,-74.1492376947323,40.6231883776008
238858068,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,45,25-44,M,WHITE HISPANIC,-73.826946,40.830792
238858069,01/09/2022,268,121,CRIMINAL MISCHIEF & RELATED OF,F,B,40,25-44,F,BLACK,-73.924895,40.810391
238858070,01/09/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,K,90,25-44,M,BLACK,-73.9504006335643,40.7065483947783
238858071,01/09/2022,848,364,OTHER STATE LAWS (NON PENAL LA,M,K,70,25-44,M,WHITE HISPANIC,-73.949112,40.63422
